"Name"	"Score"	"freq_up"
"CSF2"	"CSF2"	0.153829109528951	3
"RP11-304F15.6"	"RP11-304F15.6"	0.154504599089372	2
"RP11-492E3.2"	"RP11-492E3.2"	0.156127021587849	3
"SERPINA3"	"SERPINA3"	0.158051855967716	1
"RNF19A"	"RNF19A"	0.158445764737756	3
"hsa-mir-3675"	"hsa-mir-3675"	0.158640300486814	2
"AC073283.4"	"AC073283.4"	0.158640300486814	2
"CYP4F23P"	"CYP4F23P"	0.160003192453402	3
"KIAA0226L"	"KIAA0226L"	0.160785391822767	3
"RP1-34B20.21"	"RP1-34B20.21"	0.163145955083041	3
"CTD-2517O10.6"	"CTD-2517O10.6"	0.163937470928701	3
"NUTF2P6"	"NUTF2P6"	0.164227756675935	2
"AGAP11"	"AGAP11"	0.165527506154805	3
"SFTPB"	"SFTPB"	0.166326029307963	3
"RP11-435O5.7"	"RP11-435O5.7"	0.167126891990574	3
"CYCSP34"	"CYCSP34"	0.167651435312712	4
"KRT17"	"KRT17"	0.167930096070356	3
"ATP5C1P1"	"ATP5C1P1"	0.169543535855019	3
"KRT13"	"KRT13"	0.171166363454571	3
"ARL4C"	"ARL4C"	0.171166363454571	3
"GRM2"	"GRM2"	0.176091319279308	3
"WFDC2"	"WFDC2"	0.176091319279308	3
"BISPR"	"BISPR"	0.176698283745203	2
"OAS1"	"OAS1"	0.178585652491484	3
"CSNK1A1L"	"CSNK1A1L"	0.180019219938306	3
"WNT7A"	"WNT7A"	0.180260372159959	3
"ZNF703"	"ZNF703"	0.180260372159959	3
"DPYSL2"	"DPYSL2"	0.181944572887517	3
"LGALS9"	"LGALS9"	0.181944572887517	3
"RP11-120K24.3"	"RP11-120K24.3"	0.183638268572061	3
"PIGZ"	"PIGZ"	0.184488681333677	3
"RP11-667F9.1"	"RP11-667F9.1"	0.187400825615995	2
"SPAG1"	"SPAG1"	0.187914138348766	3
"MAGEB17"	"MAGEB17"	0.188776462557206	3
"RP11-143M1.3"	"RP11-143M1.3"	0.189091471987313	1
"MAF"	"MAF"	0.18964117410642	3
"ARID5B"	"ARID5B"	0.191377765885344	3
"IGFBP3"	"IGFBP3"	0.192249649425499	3
"OR2A9P"	"OR2A9P"	0.192249649425499	3
"HIST1H3PS1"	"HIST1H3PS1"	0.195276755400708	1
"LINC01348"	"LINC01348"	0.195761139531309	3
"EWSAT1"	"EWSAT1"	0.196645009171052	3
"ECEL1P2"	"ECEL1P2"	0.199311036900143	3
"TPSG1"	"TPSG1"	0.199471726705897	3
"SNRPCP3"	"SNRPCP3"	0.199471726705897	2
"RP11-25K19.1"	"RP11-25K19.1"	0.200204524385949	3
"RP11-710M11.1"	"RP11-710M11.1"	0.201998726194518	3
"BARX2"	"BARX2"	0.204079985969764	2
"RP11-431J24.2"	"RP11-431J24.2"	0.205616080843933	3
"CTD-2047H16.3"	"CTD-2047H16.3"	0.207439258378908	3
"RANBP3L"	"RANBP3L"	0.207624731412669	1
"EFR3B"	"EFR3B"	0.208354477542087	3
"RP11-285A1.1"	"RP11-285A1.1"	0.210192184208985	3
"APBA2"	"APBA2"	0.211114674709998	3
"MMP11"	"MMP11"	0.212039591975157	3
"GRAP2"	"GRAP2"	0.212039591975157	3
"RP11-61A14.4"	"RP11-61A14.4"	0.213428530933588	2
"RP11-246E12.2"	"RP11-246E12.2"	0.213428530933588	2
"MBNL1-AS1"	"MBNL1-AS1"	0.213787436243974	1
"RP11-675F6.3"	"RP11-675F6.3"	0.213787436243974	1
"AC007405.4"	"AC007405.4"	0.213896712710487	3
"TMEM139"	"TMEM139"	0.214828919118304	3
"C4orf26"	"C4orf26"	0.214828919118304	3
"AC005754.8"	"AC005754.8"	0.216583522443054	2
"ADAMTS14"	"ADAMTS14"	0.218582085608529	3
"CCR9"	"CCR9"	0.219757778707966	2
"AC010884.1"	"AC010884.1"	0.223328418019732	3
"SULF2"	"SULF2"	0.224285015185494	3
"CTD-2521M24.4"	"CTD-2521M24.4"	0.226090310120442	2
"RP11-30K9.6"	"RP11-30K9.6"	0.227169493012363	3
"ZNF781"	"ZNF781"	0.227777152216014	2
"GRPR"	"GRPR"	0.228135885625074	3
