"Name"	"Score"	"freq_up"
"RP11-15A1.4"	"RP11-15A1.4"	0.116513035311416	2
"SHC2"	"SHC2"	0.11730512198608	2
"RP11-266L9.8"	"RP11-266L9.8"	0.11730512198608	2
"GRIA4"	"GRIA4"	0.117621190887553	2
"RP11-353N14.4"	"RP11-353N14.4"	0.118497797296973	2
"LINC01312"	"LINC01312"	0.11946296642871	1
"STK24-AS1"	"STK24-AS1"	0.11946296642871	1
"RP5-832C2.5"	"RP5-832C2.5"	0.121303957233815	1
"AC090954.5"	"AC090954.5"	0.121704866781886	2
"CTB-50L17.9"	"CTB-50L17.9"	0.121807792169371	3
"MIR1285-1"	"MIR1285-1"	0.123728876438947	2
"FO538757.3"	"FO538757.3"	0.124950494514322	2
"AC005009.1"	"AC005009.1"	0.124950494514322	2
"RAB9B"	"RAB9B"	0.124983585304727	1
"RP11-705O1.8"	"RP11-705O1.8"	0.124983585304727	1
"MADCAM1"	"MADCAM1"	0.125191151223202	3
"FAM186A"	"FAM186A"	0.125767906107908	3
"DOK6"	"DOK6"	0.125767906107908	2
"IFNE"	"IFNE"	0.126177510764416	3
"RP11-770J1.4"	"RP11-770J1.4"	0.126587714214831	2
"RP11-472M19.2"	"RP11-472M19.2"	0.126822222904962	2
"LINC01338"	"LINC01338"	0.126998516124723	2
"PRSS27"	"PRSS27"	0.127409916159664	2
"NPIPA8"	"NPIPA8"	0.128234509266983	3
"CTA-963H5.5"	"CTA-963H5.5"	0.12840495007476	3
"SCN9A"	"SCN9A"	0.128660076438002	1
"ZNF436-AS1"	"ZNF436-AS1"	0.129475876505122	2
"PVRL3-AS1"	"PVRL3-AS1"	0.13030643581366	2
"ATP6V0A4"	"ATP6V0A4"	0.130497146071061	2
