"","x"
"694","""OR7E14P"""
"695","""NINJ1"""
"696","""DRAM1"""
"697","""RP4-568C11.4"""
"698","""SPAG16"""
"699","""TMEM40"""
"700","""RP11-111A21.1"""
"701","""LINC01021"""
"702","""PPIE"""
"703","""RP11-1134I14.2"""
"704","""RPL37P6"""
"705","""SUPT3H"""
"706","""ADAM11"""
"707","""GMNC"""
"708","""OPTN"""
"709","""CMAS"""
"710","""DISP2"""
"711","""EVA1A"""
"712","""TNFAIP1"""
"713","""RASGEF1C"""
"714","""SLC27A6"""
"715","""CGB2"""
"716","""UQCRQ"""
"717","""RBMS2"""
"718","""NDUFA6"""
"719","""AIP"""
"720","""HPGD"""
"721","""DBI"""
"722","""MICALCL"""
"723","""NTHL1"""
"724","""SLC26A4"""
"725","""MYO1A"""
"726","""TMEM117"""
"727","""NAB2"""
"728","""CHP1"""
"729","""PI4K2B"""
"730","""PRIMA1"""
"731","""PNPLA4"""
"732","""FEZ1"""
"733","""MEN1"""
"734","""COASY"""
"735","""RPL23AP88"""
"736","""MDFIC"""
"737","""STOML1"""
"738","""ADAMTS2"""
"739","""RP11-57H12.5"""
"740","""CHCHD7"""
"741","""RPL39"""
"742","""RAB37"""
"743","""PLCG2"""
"744","""RP11-295H24.4"""
"745","""ZFAS1"""
"746","""DCTN6"""
"747","""UNC119B"""
"748","""FUT6"""
"749","""HIPK2"""
"750","""DUSP16"""
"751","""BRI3"""
"752","""DYRK3"""
"753","""RP11-148O21.4"""
"754","""RP11-281P11.1"""
"755","""CYP4F12"""
"756","""CLIC3"""
"757","""LPCAT2"""
"758","""RPL12P12"""
"759","""MRPS6"""
"760","""FAM78A"""
"761","""ATXN7"""
"762","""DRP2"""
"763","""NDUFS4"""
"764","""TMEM50B"""
"765","""ADAP1"""
"766","""MKRN2OS"""
"767","""TMEM87A"""
"768","""MIR3189"""
"769","""FN3KRP"""
"770","""NDUFA4"""
"771","""PQLC3"""
"772","""POLR2M"""
"773","""RREB1"""
"774","""MOB3A"""
"775","""SMTNL2"""
"776","""CAPZB"""
"777","""RP11-778J16.2"""
"778","""TMEM9B"""
"779","""TNFRSF1A"""
"780","""RNF144B"""
"781","""TLR1"""
"782","""REEP6"""
"783","""TNNT1"""
"784","""CTB-147C22.8"""
"785","""PLEKHA6"""
"786","""MRPL54"""
"787","""ATP5A1P7"""
"788","""FAM209A"""
"789","""WWC2"""
"790","""ALCAM"""
"791","""ADAMTS6"""
"792","""SMYD3"""
"793","""TMEM176B"""
"794","""RP11-1099M24.6"""
"795","""ARHGEF35"""
"796","""SUSD2"""
"797","""AC026167.1"""
"798","""EVA1B"""
"799","""RP11-857B24.5"""
"800","""ABI2"""
"801","""B3GALT1"""
"802","""SULT2B1"""
"803","""TMEM74"""
"804","""OARD1"""
"805","""FBN1"""
"806","""RP11-706O15.3"""
"807","""RPS6KA4"""
"808","""ZDHHC24"""
"809","""GTF3A"""
"810","""RP11-98F14.11"""
"811","""KIAA1217"""
"812","""CEP63"""
"813","""MIS12"""
"814","""RABGGTA"""
"815","""RP11-550H2.1"""
"816","""LGALS3"""
"817","""CDS1"""
"818","""PRSS12"""
"819","""TPMT"""
"820","""GDF15"""
"821","""SLC30A3"""
"822","""STAMBP"""
"823","""PIK3C3"""
"824","""MAP3K3"""
"825","""MCPH1-AS1"""
"826","""HES6"""
"827","""CCDC65"""
"828","""FAM178B"""
"829","""RP11-89C3.4"""
"830","""NOVA2"""
"831","""NOSIP"""
"832","""RPP30"""
"833","""CCL5"""
"834","""SYNJ2"""
"835","""AGAP3"""
"836","""LNX1"""
"837","""SLC22A18AS"""
"838","""CHST12"""
"839","""HN1"""
"840","""MCOLN2"""
"841","""UBE2Q1-AS1"""
"842","""GPD1"""
"843","""TMCC1"""
"844","""MAP1A"""
"845","""ZNF34"""
"846","""FBXO7"""
"847","""CYLD"""
"848","""COL5A3"""
"849","""SLC2A14"""
"850","""METTL15P1"""
"851","""STAR"""
"852","""IL4R"""
"853","""LINC00857"""
"854","""RPL23AP42"""
"855","""INSR"""
"856","""ZNF702P"""
"857","""SLC22A20"""
"858","""CRHR1-IT1"""
"859","""PRKCQ-AS1"""
"860","""HLF"""
"861","""SLC26A1"""
"862","""LRRC37A15P"""
"863","""CACTIN"""
"864","""PRKCI"""
"865","""ELF3"""
"866","""PSMA4"""
"867","""CTNNA1"""
"868","""BRSK2"""
"869","""RP5-1057I20.5"""
"870","""FAM86DP"""
"871","""DNAH5"""
"872","""SLC5A5"""
"873","""EMC7"""
"874","""COBLL1"""
"875","""RP11-15F12.6"""
"876","""FA2H"""
"877","""SCFD1"""
"878","""BMS1P4"""
"879","""CERK"""
"880","""OMA1"""
"881","""NRIP2"""
"882","""CASP10"""
"883","""SH2D3A"""
"884","""MDFI"""
"885","""ZNFX1"""
"886","""NBL1"""
"887","""HNF4A"""
"888","""LINC01269"""
"889","""AL353644.11"""
"890","""RAET1L"""
"891","""CLCN1"""
"892","""AP1M2"""
"893","""CD151"""
"894","""ETHE1"""
"895","""NSMCE1"""
"896","""PEX16"""
"897","""TRAPPC6A"""
"898","""DUSP8"""
"899","""AC027119.1"""
"900","""ZNF707"""
"901","""FCF1P2"""
"902","""NDUFB7"""
"903","""CFHR1"""
"904","""NBEAL1"""
"905","""IFI35"""
"906","""TMEM67"""
"907","""DGAT2"""
"908","""CHMP3"""
"909","""RP11-15F12.1"""
"910","""APITD1-CORT"""
"911","""TAS2R15P"""
"912","""ARHGEF28"""
"913","""MAN2A1"""
"914","""ZNF134"""
"915","""MED18"""
"916","""RP5-1071N3.1"""
"917","""HCN2"""
"918","""NELFE"""
"919","""HBEGF"""
"920","""UPF3B"""
"921","""HACL1"""
"922","""CCNJ"""
"923","""H2AFX"""
"924","""LRRC37A6P"""
"925","""HIPK3"""
"926","""UBE2D4"""
"927","""FPGT"""
"928","""HPSE2"""
"929","""ATF6B"""
"930","""CLCN2"""
"931","""CLIC1"""
"932","""PDCD10"""
