"","x"
"724","CYP2D6"
"725","USP15"
"726","TMEM237"
"727","MUC6"
"728","LINCR-0001"
"729","RPS26"
"730","CILP"
"731","RAP1GDS1"
"732","RP11-802E16.3"
"733","ULK2"
"734","LL22NC03-86G7.1"
"735","SIN3B"
"736","RP11-25K19.1"
"737","FAT4"
"738","WDFY2"
"739","CTSLP2"
"740","GAD1"
"741","IDUA"
"742","THYN1"
"743","PRIM2"
"744","DCST2"
"745","RABGAP1"
"746","NXF1"
"747","RP11-401P9.4"
"748","LINC00176"
"749","CAPN10"
"750","XX-FW83563B9.5"
"751","CNBP"
"752","GPR162"
"753","CCDC77"
"754","RP11-556N21.1"
"755","PRAF2"
"756","CIPC"
"757","ZNF84"
"758","OSBPL9"
"759","WDR97"
"760","RPS3AP6"
"761","ACO1"
"762","ADGRB2"
"763","CAMTA2"
"764","KCNMB2-AS1"
"765","AC093732.1"
"766","NSDHL"
"767","PNPLA7"
"768","ARHGEF25"
"769","CSRNP1"
"770","RP11-20O24.4"
"771","CA3"
"772","BRSK1"
"773","TPTE2"
"774","RPL12P4"
"775","CEP97"
"776","WASH7P"
"777","CHMP4A"
"778","SMS"
"779","RP11-182J1.12"
"780","IST1"
"781","GLTSCR1"
"782","MGAM2"
"783","SLC27A4"
"784","WASH6P"
"785","RP5-1198O20.4"
"786","C1orf159"
"787","CYP21A2"
"788","CDK10"
"789","CEP164"
"790","SFI1"
"791","ACADVL"
"792","POLR2C"
"793","MYOM3"
"794","AC144831.1"
"795","HCP5B"
"796","RP11-244H3.1"
"797","PRPSAP1"
"798","ZNF446"
"799","LRRIQ1"
"800","ZNF547"
"801","FIS1"
"802","AC067956.1"
"803","TRPT1"
"804","ICA1L"
"805","ADCY10P1"
"806","DCHS1"
"807","PEMT"
"808","ZNF431"
"809","LONP1"
"810","MAGI3"
"811","JMJD8"
"812","RP4-773N10.4"
"813","CEP57"
"814","ERO1B"
"815","KIAA1683"
"816","TLR5"
"817","RP11-51O6.1"
"818","SLX4"
"819","ZC3H6"
"820","PRRT1"
"821","BRWD1"
"822","LRRC66"
"823","RP11-458F8.4"
"824","MCOLN3"
"825","PHKA2"
"826","CTC-524C5.2"
"827","ALYREF"
"828","EMC3"
"829","TNFRSF19"
"830","RP1-283K11.3"
"831","RP11-108K3.2"
"832","MAP2K6"
"833","TRIM39"
"834","SDR9C7"
"835","UBE2M"
"836","LTBP4"
"837","ELOVL1"
"838","MRPS33"
"839","CNTRL"
"840","ZBTB7A"
"841","PLA2G6"
"842","CD99L2"
"843","DCTN3"
"844","ZDHHC17"
"845","RP11-82L18.2"
"846","DZIP1L"
"847","RPS19"
"848","FAM92B"
"849","ZNF581"
"850","C1QTNF3"
"851","SMCO2"
"852","DDX26B"
"853","IFT27"
"854","RP11-95P13.1"
"855","FGF17"
"856","CTDSPL2"
"857","TCAF1"
"858","SEC16A"
"859","SLC17A7"
"860","ZNF559"
"861","HDAC10"
"862","ALOXE3"
"863","NEXN"
"864","CCHCR1"
"865","ZNF561-AS1"
"866","KDSR"
"867","APAF1"
"868","MT-TN"
"869","GBAP1"
"870","GALT"
"871","C11orf86"
"872","TG"
"873","PI4KAP1"
"874","LA16c-380H5.5"
"875","SLX4IP"
"876","ZSCAN21"
"877","CHTF18"
"878","PTBP2"
"879","BCAR1"
"880","IL10RB-AS1"
"881","RANP4"
"882","SUDS3P1"
"883","MED12"
"884","PPP1R32"
"885","CTB-12A17.2"
"886","STARD4-AS1"
"887","TSSC1"
"888","STX16"
"889","RAB40B"
"890","BHLHE40"
"891","STXBP3"
"892","RP11-221N13.4"
"893","DSTN"
"894","ZBED3"
"895","ETV1"
"896","RP11-314B1.2"
"897","KRT71"
"898","POLD3"
"899","EIF5A2"
"900","VPS11"
"901","SLC22A1"
"902","GOLGA8B"
"903","LAG3"
"904","RP11-1149O23.2"
"905","PLD3"
"906","RP11-829H16.3"
"907","MBD6"
"908","MLLT3"
"909","ZNF713"
"910","DDX50"
"911","TARID"
"912","RP11-313D6.3"
"913","GSTP1"
"914","RP11-390K5.6"
"915","AC104532.4"
"916","CHKB-CPT1B"
"917","ZNF225"
"918","ZSWIM7"
"919","ADAM23"
"920","PKD1"
"921","RP11-108M12.3"
"922","DLEU7-AS1"
"923","TSPAN6"
"924","HSD17B3"
"925","FAM71F1"
"926","MTUS1"
"927","G3BP1"
"928","RP11-274B21.9"
"929","TMEM88"
"930","CNOT2"
"931","RALB"
"932","STK19"
"933","DUSP3"
"934","AC006042.6"
"935","VCPIP1"
"936","PGBD1"
"937","RRAGB"
"938","UNK"
"939","TIMM17B"
"940","KRBOX4"
"941","COX7A2L"
"942","RP11-139H14.5"
"943","RPL4P5"
"944","POP7"
"945","STK11IP"
"946","SEMA3C"
"947","MELK"
"948","AC005009.1"
