"Name"	"Score"	"freq_up"
"IGFBP3"	"IGFBP3"	0.0243776574611942	4
"SNAI2"	"SNAI2"	0.0247217579384071	3
"UPF3AP3"	"UPF3AP3"	0.025895120911286	4
"RP11-710M11.1"	"RP11-710M11.1"	0.0260504586965041	5
"AC004012.1"	"AC004012.1"	0.0262064557369695	4
"TWIST2"	"TWIST2"	0.0265221804424231	3
"CTD-2047H16.3"	"CTD-2047H16.3"	0.026996384617391	5
"EFR3B"	"EFR3B"	0.0271563701006341	4
"AC113617.1"	"AC113617.1"	0.0273182934087635	4
"PECAM1"	"PECAM1"	0.027413648817607	4
"APBA2"	"APBA2"	0.0276403541819748	4
"GRAP2"	"GRAP2"	0.0278030299791578	5
"NRP1"	"NRP1"	0.0279663822746751	5
"KRTAP5-10"	"KRTAP5-10"	0.0281292561095273	3
"C2orf54"	"C2orf54"	0.0286781976788465	3
"CEACAM1"	"CEACAM1"	0.0289551695455155	5
"ERN2"	"ERN2"	0.0289607903298218	5
"EEF1A1P10"	"EEF1A1P10"	0.0292338137288314	3
"NPM1P37"	"NPM1P37"	0.0292977427612328	6
"HNRNPH1P1"	"HNRNPH1P1"	0.0300798169375494	4
"IAPP"	"IAPP"	0.0303252249563874	4
"RP11-367J11.3"	"RP11-367J11.3"	0.0306733024806739	4
"C15orf48"	"C15orf48"	0.0312006963919564	4
"TNFAIP8L2"	"TNFAIP8L2"	0.0312314556670929	3
"A1BG"	"A1BG"	0.0312314556670929	4
"CTC-281M20.1"	"CTC-281M20.1"	0.0317160672562319	5
"SDR9C7"	"SDR9C7"	0.0322746389255247	4
"MEFV"	"MEFV"	0.0322746389255247	4
"RP11-492E3.2"	"RP11-492E3.2"	0.0323634270899688	5
"AC107399.2"	"AC107399.2"	0.0324103172424325	4
"RIC3"	"RIC3"	0.0324103172424325	3
"CD200"	"CD200"	0.0324561306608924	4
"RASD1"	"RASD1"	0.0327093130515091	3
"PRODH"	"PRODH"	0.0330155717940989	2
"MMP16"	"MMP16"	0.033312466000141	3
"DRD2"	"DRD2"	0.033312466000141	3
"RP11-206P5.1"	"RP11-206P5.1"	0.0335602316266983	4
"TG"	"TG"	0.0341220922879729	4
"CFH"	"CFH"	0.0341220922879729	4
