"","x"
"1005","U73166.2"
"1006","ORAOV1"
"1007","CTD-2526A2.2"
"1008","C21orf59"
"1009","MIR589"
"1010","RP13-317D12.3"
"1011","NUTF2"
"1012","KRT8P12"
"1013","RP11-162A12.2"
"1014","NXPH4"
"1015","SPARC"
"1016","STAM-AS1"
"1017","NCBP2-AS2"
"1018","RP11-422P24.12"
"1019","ZNF213-AS1"
"1020","RP11-90M2.5"
"1021","FAAP100"
"1022","SYNE2"
"1023","HOXC-AS2"
"1024","MMP24"
"1025","RP11-115J16.1"
"1026","RP11-468E2.11"
"1027","CTC-303L1.2"
"1028","CTD-2223O18.1"
"1029","HSD17B1"
"1030","SYNJ1"
"1031","RP11-874J12.4"
"1032","GLIPR1"
"1033","RP11-685G9.4"
"1034","RP11-1055B8.2"
"1035","RP11-218C14.8"
"1036","RP1-43E13.2"
"1037","CCND3"
"1038","RP11-1348G14.4"
"1039","AC133528.2"
"1040","WWC2-AS2"
"1041","RP11-77H9.2"
"1042","IL12RB2"
"1043","RP11-49I11.4"
"1044","RAD51"
"1045","AC092384.1"
"1046","KRT18P4"
"1047","KB-1440D3.13"
"1048","MYBPH"
"1049","HCG9"
"1050","RP11-727A23.10"
"1051","DAND5"
"1052","LINC00705"
"1053","ZNF778"
"1054","PNKD"
"1055","SLC45A1"
"1056","RPS7P10"
"1057","TBPL1"
"1058","ZFX"
"1059","CTD-2650P22.2"
"1060","ACOT8"
"1061","GTF3C3"
"1062","RP11-350N15.5"
"1063","AC009403.2"
"1064","EIF4E1B"
"1065","TMEM107"
"1066","HEATR4"
"1067","RP11-156E8.1"
"1068","CTC-281F24.1"
"1069","RP1-317E23.3"
"1070","ITIH2"
"1071","MTMR4"
"1072","RP11-81A22.4"
"1073","RP11-603J24.7"
"1074","RP11-131L23.1"
"1075","SEMA3F-AS1"
"1076","ARID1A"
"1077","ACSF3"
"1078","TM4SF19"
"1079","AC093673.5"
"1080","QPCTL"
"1081","RP11-303E16.3"
"1082","RP11-1029J19.4"
"1083","CTD-2555C10.3"
"1084","TAF9B"
"1085","PCNXL3"
"1086","CAMK2D"
"1087","SOS1"
"1088","RP11-727F15.13"
"1089","ZNF512"
"1090","FXYD7"
"1091","RNF144A"
"1092","RP3-406A7.7"
"1093","GLDC"
"1094","SAMD10"
"1095","LINC01126"
"1096","SLC16A5"
"1097","CTB-147C22.9"
"1098","LINC01179"
"1099","LEKR1"
"1100","HRH2"
"1101","LA16c-329F2.2"
"1102","RARA-AS1"
"1103","NUDT13"
"1104","RP11-1334A24.5"
"1105","RP11-31H5.3"
"1106","RP11-425D17.1"
"1107","HLA-L"
"1108","RP11-650P15.1"
"1109","SPATA25"
"1110","RPS7P3"
"1111","RP11-297D21.4"
"1112","ZNF174"
"1113","DNAJC30"
"1114","RP1-152L7.5"
"1115","TBX18-AS1"
"1116","RP11-531F16.4"
"1117","AF015262.2"
"1118","HLA-F-AS1"
"1119","ZNF580"
"1120","CTD-2192J16.26"
"1121","RP11-277P12.9"
"1122","ZNF487"
"1123","SMIM10L2B"
"1124","SEC14L4"
"1125","BOLA1"
"1126","RP11-50B3.4"
"1127","C10orf95"
"1128","RN7SL521P"
"1129","RP11-876N24.5"
"1130","HIST1H4H"
"1131","SLC25A41"
"1132","GRIK1"
"1133","RP11-314A20.1"
"1134","FAM120AOS"
"1135","RP6-109B7.4"
"1136","RP1-197B17.3"
"1137","RP11-1007O24.3"
"1138","C2orf82"
"1139","HSPA8P14"
"1140","RP11-635N19.1"
"1141","RP4-714D9.5"
"1142","AC073283.7"
"1143","RP11-635L1.2"
"1144","AIMP1P2"
"1145","PRR7"
"1146","HN1"
